Age,Gender,Monthly_Income,Occupation,Location_Type,Cinema_Visit_Frequency,Spend_Per_Visit,Movie_Importance,Preferred_Genres,Preferred_Time,Movie_Companion,Group_Movie_Conflict,Use_Poll_Booking,Seat_Importance,Pay_Extra_Seat,Buy_Snacks,Use_Snack_Preorder,Enjoy_PostCredit,Want_Spoiler_Free_Alerts,Inclusive_Screenings,Eco_Labels_Influence,Follow_Fan_Communities,Want_Exclusive_Content,AI_Recommendation_Interest,Loyalty_SplitPay_Interest,Use_App_Regularly
53,Non-binary,1599,Retired,Tier-1 City,Monthly,77,1,"Sci-Fi, Documentary, Animation, Comedy, Horror, Other",Evening,Family,No,No,5,Yes,Yes,No,No,Yes,No,Yes,No,No,3,3,Yes
43,Female,1079,Retired,Rural Area,Monthly,63,1,"Romance, Animation, Horror, Drama, Comedy, Sci-Fi",Night,Alone,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5,3,Yes
29,Female,3636,Working Professional,Tier-2 City,Weekly,70,3,"Animation, Horror, Other, Documentary, Action, Drama, Romance, Comedy",Morning,Partner,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,2,1,Yes
57,Female,2149,Student,Tier-1 City,Monthly,91,2,"Animation, Other, Romance, Documentary, Comedy, Horror, Action, Drama, Sci-Fi",Night,Friends/Group,Yes,Yes,1,No,No,Yes,Yes,Yes,Yes,No,No,Yes,5,1,Yes
22,Prefer not to say,5994,Other,Town,Never,69,2,"Documentary, Comedy, Sci-Fi, Horror",Morning,Alone,Yes,Yes,4,Yes,Yes,No,Yes,No,No,No,No,No,4,3,Yes
35,Male,2602,Student,Tier-1 City,Never,46,2,"Drama, Animation, Documentary, Romance",Evening,Partner,No,Yes,4,Yes,Yes,No,Yes,No,Yes,No,No,Yes,3,2,Yes
53,Male,9620,Other,Town,Rarely,81,1,"Comedy, Documentary, Animation, Drama, Romance",Night,Friends/Group,Yes,Yes,1,No,Yes,No,Yes,No,No,No,Yes,Yes,2,4,Yes
33,Female,1513,Student,Rural Area,Weekly,99,5,"Animation, Comedy, Other, Drama, Sci-Fi, Horror, Documentary, Romance",Evening,Friends/Group,No,Yes,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,1,3,Yes
37,Male,6074,Retired,Tier-1 City,Occasionally,97,1,"Action, Comedy, Documentary, Romance, Drama, Animation, Sci-Fi, Other",Evening,Friends/Group,No,Yes,5,No,Yes,No,Yes,Yes,No,No,No,Yes,2,1,Yes
25,Female,4746,Homemaker,Tier-2 City,Occasionally,63,5,"Comedy, Other, Horror, Documentary, Drama, Action, Animation",Morning,Partner,Yes,No,5,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,4,1,Yes
25,Prefer not to say,4684,Homemaker,Tier-1 City,Rarely,100,4,"Action, Sci-Fi, Drama, Animation, Horror, Comedy",Night,Friends/Group,Yes,Yes,1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,4,Yes
38,Prefer not to say,33942,Working Professional,Tier-1 City,Rarely,79,1,"Other, Animation, Sci-Fi, Romance, Comedy",Night,Friends/Group,Yes,Yes,5,Yes,No,Yes,Yes,No,No,No,No,Yes,4,4,Yes
50,Non-binary,4578,Other,Tier-1 City,Monthly,99,1,"Drama, Comedy, Sci-Fi, Horror, Animation",Evening,Alone,No,Yes,1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,5,2,Yes
54,Prefer not to say,3460,Other,Rural Area,Rarely,86,1,"Horror, Documentary, Sci-Fi, Comedy, Romance, Other, Drama, Animation, Action",Evening,Family,Yes,Yes,5,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2,1,Yes
38,Female,1351,Other,Tier-2 City,Rarely,44,2,"Action, Documentary, Drama, Romance, Sci-Fi, Comedy",Morning,Partner,Yes,No,1,Yes,No,No,Yes,Yes,No,Yes,No,Yes,5,5,Yes
